listings;url;guests; bedrooms; beds; bathrooms;room_type;price;host_name;reviews;stars;location;latitude;longitude
Luxury Paul apartament green, private& accessible;https://www.airbnb.com.ro/rooms/35444873?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588084497_QuN25OSoSaFahLgS&guests=1&adults=1;5;3;3;1;Entire home;285;Radu;36;4.89;Brasov, Romania;45638;25635
LUXUXY CHARM;https://www.airbnb.com.ro/rooms/42449708?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588077987_tMW%2BSCOKL0E1tHyM&guests=1&adults=1;4;1;2;1;Entire home;230;Teodor;0;0;Brasov, Romania;4567568;2560881
M&C Ana 1;https://www.airbnb.com.ro/rooms/40820543?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588093631_AwTuC7Tvox3gBgBg;2;1;1;1;Entire home;150;Ciprian;2;0;Brasov, Romania;4567799;2561105
M&F APARTAMENT;https://www.airbnb.com/rooms/20531303?location=Brasov&check_in=2020-07-10&check_out=2020-07-11&previous_page_section_name=1000&federated_search_id=3ea7763b-0b08-4fe4-8f0e-0bb1e99b2661;6;2;2;1;Entire home;227;Petrescu;239;4.93;Brasov, Romania;4563007;2560334
M&F APARTAMENT JEPILOR;https://www.airbnb.com.ro/rooms/21480817?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588066704_JJ12QBVoYyjA2aaH&guests=1&adults=1;6;2;3;1;Entire home;97;Petrescu;43;4.88;Brasov, Romania;4563007;2560334
MEI- Your home when travelling around the world;https://www.airbnb.com.ro/rooms/32396967?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588162319_1ztfyt%2BmZCO7PEuH&guests=1&adults=1;4;1;2;1;Entire home;201;Vali;13;5.0;Brasov, Romania;45671;25615
MER guest house B&B;https://www.airbnb.com/rooms/41375731?location=Brasov&check_in=2020-07-10&check_out=2020-07-11&previous_page_section_name=1000&federated_search_id=3ea7763b-0b08-4fe4-8f0e-0bb1e99b2661;16;8;8;7;Entire home;450;Radu;0;;Brasov, Romania;4564223;2557785
Middle 1 - BB House;https://www.airbnb.com.ro/rooms/37981462?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588227766_rSQiTEc4ahsEK%2Fgy&guests=1&adults=1;3;1;1;1;Entire home;250;Bb;0;0;Brasov, Romania;456566;2558522
Modern and Elegant Apartament in the Old Town;https://www.airbnb.com.ro/rooms/42150457?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588228063_fZUWV7wOjtu5767S&guests=1&adults=1;4;2;2;1;Entire home;250;Bb;2;0;Brasov, Romania;4564602;2559391
Modern Cityscape Views from a Sleek Balcony Home;https://www.airbnb.com.ro/rooms/plus/33992666?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588061390_F1QkdR4rC8ap5nVV&guests=1&adults=1;4;1;2;1;Entire home;509;Felix;73;5.0;Brasov, Romania;4566996;2561895
Modern Scandinavian Style 1;https://www.airbnb.com.ro/rooms/42602325?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588146925_peZk8XUw4uy0LClN&guests=1&adults=1;4;1;1;1;The whole apartment in residential complex;200;Bb;1;0;Brasov, Romania;4566925;2561952
Modern 1 2;https://www.airbnb.com.ro/rooms/41906045?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588237194_WJL6GOLmUbKWq%2Bk0&guests=1&adults=1;4;1;2;1;Entire home;187;Gabriela;13;5.0;Brasov, Romania;456690601;255639293
Much better than in picture;https://www.airbnb.com.ro/rooms/3098344?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588066528_XzAMQRxO%2FJWgTpcQ&guests=1&adults=1;14;4;7;3;Entire home;1.170;Andrei;25;4.84;Brasov, Romania;45644;25589
Musical Experience in the Center of Old Town;https://www.airbnb.com.ro/rooms/42044963?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588235096_zGC%2FO0m1ODkBWd%2FA&guests=1&adults=1;5;3;3;1;Entire home;300;Bb;0;0;Brasov, Romania;4564409;2558866
neben schwarze Kirche Kronstadt;https://www.airbnb.com.ro/rooms/6420185?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588147181_PCIdz%2F4qPAOFirEW&guests=1&adults=1;2;1;2;1;Entire home;73;Ioan;0;0;Brasov, Romania;4563985;255866
New Luxury-Charming-Center Apartament;https://www.airbnb.com.ro/rooms/22484426?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588066634_gSA8bbqO8Asq0qtR&guests=1&adults=1;5;1;3;1;Entire home;208;Alexandra;40;4.79;Brasov, Romania;45651;25615
Nice and spacious apartament in the city center;https://www.airbnb.com.ro/rooms/43283978?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588065036_VWGLRaIcgcltF%2BM7&guests=1&adults=1;4;1;1;1;The whole apartment in residential complex;176;Bb;0;0;Brasov, Romania;4565177;2558923
Nice and spacious apartament in the city center;https://www.airbnb.com.ro/rooms/35739743?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588158385_0L7YCYJr2pbL%2BYCh&guests=1&adults=1;2;1;1;1;Entire home;190;Bogdan;30;5.0;Brasov, Romania;4564043;2558784
Old City Center Lux with private parking;https://www.airbnb.com.ro/rooms/32863174?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588142242_JlYV2TxSBUTkeob8;2;1;1;1;Entire home;175;Bogdan;41;4.95;Brasov, Romania;4564658;2560306
Onur BOSH;https://www.airbnb.com.ro/rooms/39561687?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588084088_HJ3kyeztL9dwTsui&guests=1&adults=1;3;1;1;1;Entire home;111;Link;0;;Brasov, Romania;4564287;2559081
Onur BUSH;https://www.airbnb.com.ro/rooms/39561687?location=Brasov%2C Bra?ov%2C Rumanía&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588084205_EH3qTzb%2BWsYfxZLM&guests=1&adults=1;3;1;1;1;Entire home;111;Link;0;;Brasov, Romania;4564287;2559081
Orange Room Coroni Residence;https://www.airbnb.com.ro/rooms/26219960?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588144308_E7Y3IDnSsPmqi7uR;2;1;2;1;Entire home;100;Codrin;0;0;Brasov, Romania;4565748;25573
Panoramic Center Apt. BV;https://www.airbnb.com.ro/rooms/38797004?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588162503_q2DJpfSP%2F856VIgY&guests=1&adults=1;4;1;2;1;Entire home;188;Ben;3;5.0;Brasov, Romania;4566403;255835
Popa Apartament Brasov;https://www.airbnb.com.ro/rooms/30886215?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588066904_fB0lImuklnXVj8J%2B&guests=1&adults=1;3;1;1;1;Entire home;150;Popa;64;4.92;Brasov, Romania;2561299;25609
Popasu apartment -  1;https://www.airbnb.com/rooms/42571775?location=Brasov&check_in=2020-07-10&check_out=2020-07-11&previous_page_section_name=1000&federated_search_id=3ea7763b-0b08-4fe4-8f0e-0bb1e99b2661;4;1;1;1;Entire home;101;Blanca&Robert;1;0;Brasov, Romania;456735;2560999
Popasu apartment -  2;https://www.airbnb.com.ro/rooms/42582565?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588065728_G5WmoWn%2BxcA1EaEJ&guests=1&adults=1;2;1;1;1; Check-in apartament;99;Bianca&Robert;4;4.90;Brasov, Romania;456735;2560999
Postavarului's Vintage Suite;https://www.airbnb.com.ro/rooms/37765945?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588240443_ppE%2FV1m%2FVxTilCZB&guests=1&adults=1;4;2;2;1;Entire home;242;Mihaela;1;0;Brasov, Romania;4564203;2559277
Private Romantic   near City Center;https://www.airbnb.com.ro/rooms/20810908?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588158656_tIAIeezrFUpl%2BU3L&guests=1&adults=1;2;1;1;1;Private room in apartament;119;Dana;28;4.96;Brasov, Romania;4565173;2560658
Quiboo#2;https://www.airbnb.com/rooms/30162418?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588059183_I4wsN3V3MKHiwTe5&guests=1&adults=1;3;1;1;1;Entire home;487;Quiboo;9;5.0;Brasov, Romania;-;-
Quiboo#3;https://www.airbnb.com.ro/rooms/37355984?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588061285_Cwh9bAV84BDZypgC&guests=1&adults=1;2;1;1;1;Entire home;178;Quiboo;12;5.0;Brasov, Romania;-;-
Quiet and relaxing place in Brasov ;https://www.airbnb.com.ro/rooms/29779918?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588146047_XkgmNlxsCL19opMJ&guests=1&adults=1;2;1;1;1;Entire home;114;Bogdan;22;4.91;Brasov, Romania;456695;2560877
Quiet, Elegant and Spacious Apartament;https://www.airbnb.com.ro/rooms/42807136?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&previous_page_section_name=1000&federated_search_id=bf100a63-c794-4aef-8076-b42febcfd0de;4;1;3;1;The whole apartment in residential complex;220;Bb;0;0;Brasov, Romania;4566692;2555908
Rafila Apartament;https://www.airbnb.com.ro/rooms/21903728?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588084251_TQ7V06K2oKdyJ%2BJ5&guests=1&adults=1;4;2;2;1;Entire home;237;Dan;4;4.75;Brasov, Romania;4566625;2556105
Regim_Hotelier_Brasov OAA;https://www.airbnb.com.ro/rooms/41096626?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588245418_uwHGa5umpvCe0ttF&guests=1&adults=1;4;1;2;1;Entire home;300;Oprica;0;0;Brasov, Romania;4565291;2562019
Relaxing and luxurious place;https://www.airbnb.com.ro/rooms/39476990?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588084153_2c8iiKdevz5EMTP8&guests=1&adults=1;5;3;3;1;Entire home;350;Gabi;3;5.0;Brasov, Romania;4566438;2555872
Republicii Apartament in Historical Center;https://www.airbnb.com.ro/rooms/18491494?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588158084_NgsgDlbeyT7aeRoU&guests=1&adults=1;2;1;1;1;Entire home;140;Rodica;12;4.58;Brasov, Romania;4564343;255934
REPUBLICII RESIDENCE APARTAMENT;https://www.airbnb.com.ro/rooms/34697683?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588094066_WWLoJ%2FH7iuP5DFCD&guests=1&adults=1;4;2;2;1;Entire home;200;Cristina&Cristian;11;4.91;Brasov, Romania;45644;25593
